"Realised P&L e-Statement from 19 Nov,2024 to 18 May,2025"

Summary
Intraday Speculative Profit,21350.455899999422
Short Term Gains,72680.85099999973
Long Term Gains,0.0
Intraday Speculative Turnover,21696.45789999943
Dividends,7045.0

Asset Class,Scrip Name,Trading Symbol,Option Type,Expiry Date,Buy Date,Buy Price,Sell Quantity,Sell Date,Sell Price,Gain/Loss,Gain/Loss Type
Equity,Shriram Finance Ltd.,SHRIRAMFIN,,,2024-12-17,3010.56758333333,6,2025-01-02,3018.89051666667,49.93760000004113,ShortTerm
Equity,Siemens Ltd.,SIEMENS,,,2025-01-24,5964.0038,5,2025-01-31,6065.70702,508.5160999999971,ShortTerm
Equity,Siemens Ltd.,SIEMENS,,,2025-02-03,5522.717875,4,2025-02-05,5598.172,301.8164999999972,ShortTerm
Equity,Siemens Ltd.,SIEMENS,,,2025-02-03,5524.431875,4,2025-02-05,5598.172,294.9604999999974,ShortTerm
Equity,Siemens Ltd.,SIEMENS,,,2025-02-11,5306.35866666667,6,2025-03-26,5404.47066666667,588.6720000000005,ShortTerm
Equity,Siemens Ltd.,SIEMENS,,,2025-03-28,5270.34892,5,2025-03-28,5235.74872,-173.00100000000384,Speculative
Equity,Tata Elxsi Ltd.,TATAELXSI,,,2025-03-28,5242.48304444444,9,2025-04-23,5583.263492,3067.0240280000435,ShortTerm
Equity,Tata Elxsi Ltd.,TATAELXSI,,,2025-03-28,5331.704025,16,2025-04-23,5583.263492,4024.9514720000006,ShortTerm
Equity,Tata Consultancy Services Ltd.,TCS,,,2025-02-07,4014.70083333333,2,2025-02-10,4036.8126,44.22353333334013,ShortTerm
Equity,Tata Consultancy Services Ltd.,TCS,,,2025-02-07,4014.70083333333,1,2025-02-10,4037.1827,22.481866666669703,ShortTerm
Equity,Tata Consultancy Services Ltd.,TCS,,,2025-02-07,4014.70083333333,6,2025-02-10,4036.81245,132.66970000001857,ShortTerm
Equity,Timken India Ltd.,TIMKEN,,,2025-05-06,2600.644188,50,2025-05-06,2630.778654,1506.7232999999987,Speculative
Equity,Trent Ltd.,TRENT,,,2025-01-24,5666.2651,1,2025-01-31,5769.1558,102.89070000000083,ShortTerm
Equity,Trent Ltd.,TRENT,,,2025-03-24,5091.02631052632,19,2025-03-25,5194.60110526316,1967.9210999999596,ShortTerm
Equity,Trent Ltd.,TRENT,,,2025-04-30,5186.61745,50,2025-05-05,5294.036032,5370.929100000012,ShortTerm
Equity,Vantage Knowledge Academy Ltd.,VKAL,,,2025-03-05,0.0,300,2025-05-05,11.9206542222222,3576.19626666666,ShortTerm
Equity,Vantage Knowledge Academy Ltd.,VKAL,,,2025-01-27,143.91322,5,2025-05-05,11.9206542222222,-659.962828888889,ShortTerm
Equity,Vantage Knowledge Academy Ltd.,VKAL,,,2025-01-27,143.932614285714,14,2025-05-05,11.9206542222222,-1848.1674408888853,ShortTerm
Equity,Vantage Knowledge Academy Ltd.,VKAL,,,2025-01-21,159.881948387097,31,2025-05-05,11.9206542222222,-4586.800119111119,ShortTerm
Equity,Vantage Knowledge Academy Ltd.,VKAL,,,2025-01-17,177.0353075,40,2025-05-05,11.9206542222222,-6604.586131111111,ShortTerm
Equity,Vantage Knowledge Academy Ltd.,VKAL,,,2025-01-17,177.090888333333,60,2025-05-05,11.9206542222222,-9910.214046666648,ShortTerm
Equity,Voltamp Transformers Ltd.,VOLTAMP,,,2025-04-25,7359.902055,20,2025-04-28,7521.01722,3222.303300000003,ShortTerm
Equity,Waaree Energies Ltd.,WAAREEENER,,,2025-05-02,2591.3976,5,2025-05-05,2696.87119,527.3679500000003,ShortTerm
Equity,Waaree Energies Ltd.,WAAREEENER,,,2025-05-02,2587.19561333333,15,2025-05-05,2696.87119,1645.1336500000457,ShortTerm
Equity,Waaree Energies Ltd.,WAAREEENER,,,2025-04-30,2653.6156,50,2025-05-05,2696.87119,2162.779499999988,ShortTerm
Equity,Zen Technologies Ltd.,ZENTEC,,,2025-03-26,1428.10436315789,38,2025-03-26,1451.5874,892.355400000175,Speculative
Equity,Zen Technologies Ltd.,ZENTEC,,,2025-03-26,1428.05175,2,2025-03-26,1451.5874,47.07129999999961,Speculative
Equity,Zen Technologies Ltd.,ZENTEC,,,2025-03-26,1428.05173,5,2025-03-26,1451.5874,117.67834999999991,Speculative
Equity,Zen Technologies Ltd.,ZENTEC,,,2025-03-26,1428.05173,5,2025-03-26,1451.5874,117.67834999999991,Speculative
Equity,Zen Technologies Ltd.,ZENTEC,,,2025-03-27,1420.05144,50,2025-03-27,1477.58567,2876.711499999999,Speculative
Equity,Zen Technologies Ltd.,ZENTEC,,,2025-03-27,1425.131622,3,2025-03-27,1449.61333333333,73.44513399998982,Speculative
Equity,Zen Technologies Ltd.,ZENTEC,,,2025-03-27,1425.131622,47,2025-03-27,1449.58665744681,1149.386666000066,Speculative
Equity,Zen Technologies Ltd.,ZENTEC,,,2025-04-24,1417.33883229167,96,2025-04-24,1442.351726,2401.237795999681,Speculative
Equity,Zen Technologies Ltd.,ZENTEC,,,2025-04-24,1417.051325,4,2025-04-24,1442.351726,101.20160400000077,Speculative
Equity,Zen Technologies Ltd.,ZENTEC,,,2025-04-25,1355.87585806452,31,2025-04-25,1394.133712,1185.9934719998853,Speculative
Equity,Zen Technologies Ltd.,ZENTEC,,,2025-04-25,1355.0491,1,2025-04-25,1394.133712,39.08461200000011,Speculative
Equity,Zen Technologies Ltd.,ZENTEC,,,2025-04-25,1355.04908888889,18,2025-04-25,1394.133712,703.5232159999796,Speculative
Equity,Zen Technologies Ltd.,ZENTEC,,,2025-05-07,1325.20784,5,2025-05-13,1523.19499428571,989.9357714285497,ShortTerm
Equity,Zen Technologies Ltd.,ZENTEC,,,2025-05-05,1370.108158,50,2025-05-13,1523.19499428571,7654.341814285499,ShortTerm
Equity,Zen Technologies Ltd.,ZENTEC,,,2025-05-05,1378.03876666667,3,2025-05-13,1523.19499428571,435.46868285712003,ShortTerm
Equity,Zen Technologies Ltd.,ZENTEC,,,2025-05-02,1382.31142,35,2025-05-13,1523.19499428571,4930.925099999849,ShortTerm
Equity,Zen Technologies Ltd.,ZENTEC,,,2025-04-30,1433.38336666667,12,2025-05-13,1523.19499428571,1077.7395314284786,ShortTerm
